,AssessorID,FLD_ZONE,ZONE_SUBTY
0,5431-001-011,AO,
1,5431-002-012,AO,
2,5431-003-017,AO,
3,5431-001-012,AO,
4,5431-001-014,AO,
5,5431-003-005,AO,
6,5431-003-002,AO,
7,5431-001-017,AO,
8,5431-002-009,AO,
9,5431-001-015,AO,
10,5431-001-008,AO,
11,5430-027-003,AO,
12,5430-027-008,AO,
13,5430-027-028,AO,
14,7339-009-016,X,0.2 PCT ANNUAL CHANCE FLOOD HAZARD
15,2412-032-001,X,AREA OF MINIMAL FLOOD HAZARD
16,3027-027-060,X,0.2 PCT ANNUAL CHANCE FLOOD HAZARD
17,3027-010-028,X,0.2 PCT ANNUAL CHANCE FLOOD HAZARD
18,3027-014-009,X,0.2 PCT ANNUAL CHANCE FLOOD HAZARD
19,3027-027-051,X,0.2 PCT ANNUAL CHANCE FLOOD HAZARD
20,3027-011-005,X,0.2 PCT ANNUAL CHANCE FLOOD HAZARD
21,3042-019-010,X,0.2 PCT ANNUAL CHANCE FLOOD HAZARD
22,3027-015-025,X,0.2 PCT ANNUAL CHANCE FLOOD HAZARD
23,3027-013-039,X,0.2 PCT ANNUAL CHANCE FLOOD HAZARD
24,8059-029-015,X,0.2 PCT ANNUAL CHANCE FLOOD HAZARD
25,8059-029-016,X,0.2 PCT ANNUAL CHANCE FLOOD HAZARD
26,2528-012-041,AE,
27,2528-010-027,AE,
28,2528-008-014,AE,
29,5502-019-019,AH,
30,5502-020-016,AH,
31,8234-018-020,X,0.2 PCT ANNUAL CHANCE FLOOD HAZARD
32,3205-012-019,AO,
33,3205-013-010,AO,
34,6188-006-019,AH,
35,6188-006-008,AH,
36,6188-006-006,AH,
37,8661-014-030,X,0.2 PCT ANNUAL CHANCE FLOOD HAZARD
38,8665-008-038,X,0.2 PCT ANNUAL CHANCE FLOOD HAZARD
39,8661-012-015,X,0.2 PCT ANNUAL CHANCE FLOOD HAZARD
40,3242-006-006,AO,
41,3242-005-005,AO,
42,2529-001-020,X,AREA OF MINIMAL FLOOD HAZARD
43,2550-023-013,X,AREA OF MINIMAL FLOOD HAZARD
44,2550-012-014,X,AREA OF MINIMAL FLOOD HAZARD
45,2529-001-002,X,AREA OF MINIMAL FLOOD HAZARD
46,6259-012-051,X,AREA OF MINIMAL FLOOD HAZARD
47,6261-006-045,X,AREA OF MINIMAL FLOOD HAZARD
48,6261-005-028,X,AREA OF MINIMAL FLOOD HAZARD
49,6263-001-009,X,AREA OF MINIMAL FLOOD HAZARD
50,6263-006-029,X,AREA OF MINIMAL FLOOD HAZARD
51,6263-006-031,X,AREA OF MINIMAL FLOOD HAZARD
52,6263-009-037,X,AREA OF MINIMAL FLOOD HAZARD
53,6263-014-018,X,AREA OF MINIMAL FLOOD HAZARD
54,6263-006-030,X,AREA OF MINIMAL FLOOD HAZARD
55,6263-042-015,X,AREA OF MINIMAL FLOOD HAZARD
56,6262-008-035,X,AREA OF MINIMAL FLOOD HAZARD
57,6262-008-041,X,AREA OF MINIMAL FLOOD HAZARD
58,6262-008-039,X,AREA OF MINIMAL FLOOD HAZARD
59,6262-008-036,X,AREA OF MINIMAL FLOOD HAZARD
60,6262-008-031,X,AREA OF MINIMAL FLOOD HAZARD
61,6262-007-027,X,AREA OF MINIMAL FLOOD HAZARD
62,6266-002-016,X,AREA OF MINIMAL FLOOD HAZARD
63,6266-002-017,X,AREA OF MINIMAL FLOOD HAZARD
64,6266-003-046,X,AREA OF MINIMAL FLOOD HAZARD
65,6266-010-009,X,AREA OF MINIMAL FLOOD HAZARD
66,6266-002-015,X,AREA OF MINIMAL FLOOD HAZARD
67,6266-001-028,X,AREA OF MINIMAL FLOOD HAZARD
68,8760-027-001,AO,
69,2443-003-014,AO,
70,2443-001-012,AO,
71,8264-022-016,D,
72,8264-027-004,D,
73,5429-001-020,AH,
74,5542-024-036,AH,
75,5429-001-021,AH,
76,5429-001-017,AH,
77,5534-037-009,A,
78,7432-003-029,A,
79,7432-001-052,A,
80,7432-021-012,A,
81,7432-022-026,A,
82,7432-023-004,A,
83,7432-018-003,A,
84,7432-022-907,A,
85,7432-005-003,A,
86,7432-008-020,A,
87,7432-002-013,A,
88,7432-019-010,A,
89,7432-017-001,A,
90,7432-013-040,A,
91,7432-020-025,A,
92,7432-016-036,A,
93,7432-002-033,A,
94,7432-004-027,A,
95,7432-016-029,A,
96,7432-011-034,A,
97,7432-021-013,A,
98,7432-020-033,A,
99,7432-016-011,A,
100,7432-021-033,A,
101,7432-004-026,A,
102,7429-034-008,A,
103,7429-029-018,A,
104,7432-020-031,A,
105,7432-012-035,A,
106,7432-022-020,A,
107,7432-008-029,A,
108,7432-021-026,A,
109,7432-011-015,A,
110,7432-011-035,A,
111,7432-008-035,A,
