Unnamed: 0,city,street_address,zip,lat,lon,name,rating,hours,place_id,elevation,closest_station_name,closest_station_lat,closest_station_lon,closest_station_dist,AssessorID,CT20
"0",Alhambra,1210 N Atlantic Blvd,"91801",34.1059937,-118.1343897,In-N-Out Burger,4.6,"Monday: 10:30 AM – 1:00 AM, Tuesday: 10:30 AM – 1:00 AM, Wednesday: 10:30 AM – 1:00 AM, Thursday: 10:30 AM – 1:00 AM, Friday: 10:30 AM – 1:30 AM, Saturday: 10:30 AM – 1:30 AM, Sunday: 10:30 AM – 1:00 AM",ChIJ48hKusLEwoARrSF8DOjZKgY,171.806381225586,Alhambra Fire Department Fire Station 71,34.0972169,-118.1300714,1.05382300926853,5322-011-075,"480400"
"1",Arcadia,420 N Santa Anita Ave,"91006",34.1453078,-118.03124,In-N-Out Burger,4.6,"Monday: 10:30 AM – 1:00 AM, Tuesday: 10:30 AM – 1:00 AM, Wednesday: 10:30 AM – 1:00 AM, Thursday: 10:30 AM – 1:00 AM, Friday: 10:30 AM – 1:30 AM, Saturday: 10:30 AM – 1:30 AM, Sunday: 10:30 AM – 1:00 AM",ChIJq5HEVIOMUocR1aaT_hDXIiQ,155.339797973633,Arcadia Fire Dept. Station 107,34.157589,-118.0348496,1.40542368169118,5773-002-055,"430801"
"2",Azusa,324 S Azusa Ave,"91702",34.1176435,-117.9073473,In-N-Out Burger,4.6,"Monday: 10:30 AM – 1:00 AM, Tuesday: 10:30 AM – 1:00 AM, Wednesday: 10:30 AM – 1:00 AM, Thursday: 10:30 AM – 1:00 AM, Friday: 10:30 AM – 1:30 AM, Saturday: 10:30 AM – 1:30 AM, Sunday: 10:30 AM – 1:00 AM",ChIJn_xtKuQnw4AR1IUB21Ymr6I,160.418746948242,Bradbury Fire Department,34.1319439,-117.9103911,1.61462908808901,8613-024-023,"404302"
"3",Azusa,988 E Alosta Ave,"91702",34.12835,-117.886278,In-N-Out Burger,4.7,"Monday: 10:30 AM – 1:00 AM, Tuesday: 10:30 AM – 1:00 AM, Wednesday: 10:30 AM – 1:00 AM, Thursday: 10:30 AM – 1:00 AM, Friday: 10:30 AM – 1:30 AM, Saturday: 10:30 AM – 1:30 AM, Sunday: 10:30 AM – 1:00 AM",ChIJSSkBJKgnw4ARVYWuSipUxk0,192.870208740234,Los Angeles County Fire Dept. Station 151,34.1378016,-117.8677589,2.00246569627569,8628-004-032,"404203"
"4",Baldwin Park,13850 Francisquito Ave,"91706",34.0676782,-117.9734536,In-N-Out Burger,4.7,"Monday: 10:30 AM – 1:00 AM, Tuesday: 10:30 AM – 1:00 AM, Wednesday: 10:30 AM – 1:00 AM, Thursday: 10:30 AM – 1:00 AM, Friday: 10:30 AM – 1:30 AM, Saturday: 10:30 AM – 1:30 AM, Sunday: 10:30 AM – 1:00 AM",ChIJ3_hJn__AwoARsO1trxoBg5I,102.032363891602,Industry Fire Department,34.0541034,-117.9893301,2.10176532555041,8558-028-027,"404703"
"5",Bellflower,17325 Bellflower Blvd,"90706",33.8750268,-118.1253889,In-N-Out Burger,4.6,"Monday: 10:30 AM – 1:00 AM, Tuesday: 10:30 AM – 1:00 AM, Wednesday: 10:30 AM – 1:00 AM, Thursday: 10:30 AM – 1:00 AM, Friday: 10:30 AM – 1:30 AM, Saturday: 10:30 AM – 1:30 AM, Sunday: 10:30 AM – 1:00 AM",ChIJT4vKfmgz3YAR8ZnNlaVTUQU,19.3684120178223,Los Angeles County Fire Dept. Station 23,33.8817798,-118.1301286,0.869082397193691,7161-008-007,"554404"
"6",Burbank,761 N 1st St,"91502",34.184954,-118.316081,In-N-Out Burger,4.6,"Monday: 10:30 AM – 1:00 AM, Tuesday: 10:30 AM – 1:00 AM, Wednesday: 10:30 AM – 1:00 AM, Thursday: 10:30 AM – 1:00 AM, Friday: 10:30 AM – 1:30 AM, Saturday: 10:30 AM – 1:30 AM, Sunday: 10:30 AM – 1:00 AM",ChIJFZo6iUSVwoARNU6w60iDGqY,183.40705871582,Burbank Fire Department HQ,34.1835268,-118.3090379,0.667009877837895,2460-023-061,"310701"
"7",Camarillo,1316 Ventura Blvd,"93010",34.2172777,-119.0530387,In-N-Out Burger,4.6,"Monday: 10:30 AM – 1:00 AM, Tuesday: 10:30 AM – 1:00 AM, Wednesday: 10:30 AM – 1:00 AM, Thursday: 10:30 AM – 1:00 AM, Friday: 10:30 AM – 1:30 AM, Saturday: 10:30 AM – 1:30 AM, Sunday: 10:30 AM – 1:00 AM",ChIJ_f1wYeRJ6IAR4DQaps275_I,38.4354782104492,Ventura County Fire Station 54,34.221818,-119.0407839,1.23471226740766,4472-016-012,
"8",Canoga Park,6841 Topanga Canyon Blvd,"91303",34.1949248,-118.6063827,In-N-Out Burger,4.6,"Monday: 10:30 AM – 1:00 AM, Tuesday: 10:30 AM – 1:00 AM, Wednesday: 10:30 AM – 1:00 AM, Thursday: 10:30 AM – 1:00 AM, Friday: 10:30 AM – 1:30 AM, Saturday: 10:30 AM – 1:30 AM, Sunday: 10:30 AM – 1:00 AM",ChIJDWLiTDycwoARzueB5sxtmS8,243.597900390625,Los Angeles Fire Dept. Station 72,34.1948964006485,-118.588870989596,1.6106048716009,2024-005-026,"135111"
"9",Cerritos,10900 Alondra Blvd,"90703",33.8870852,-118.1016148,In-N-Out Burger,4.6,"Monday: 10:30 AM – 1:00 AM, Tuesday: 10:30 AM – 1:00 AM, Wednesday: 10:30 AM – 1:00 AM, Thursday: 10:30 AM – 1:00 AM, Friday: 10:30 AM – 1:30 AM, Saturday: 10:30 AM – 1:30 AM, Sunday: 10:30 AM – 1:00 AM",ChIJja9CmFot3YARks5NaaQebhY,22.2096290588379,Los Angeles County Fire Dept. Station 115,33.8878001,-118.0921479,0.877468164223552,7016-002-051,"554521"
"10",Compton,2200 S Central Ave,"90220",33.8723526,-118.2480468,In-N-Out Burger,4.6,"Monday: 10:30 AM – 1:00 AM, Tuesday: 10:30 AM – 1:00 AM, Wednesday: 10:30 AM – 1:00 AM, Thursday: 10:30 AM – 1:00 AM, Friday: 10:30 AM – 1:30 AM, Saturday: 10:30 AM – 1:30 AM, Sunday: 10:30 AM – 1:00 AM",ChIJ8eTjV6_LwoARtAf5YOgQ9Uo,41.2390098571777,Compton Fire Dept. Station 4,33.8757358,-118.2397825,0.850675209146295,7319-003-109,"543203"
"11",Covina,1371 Grand Ave,"91722",34.1049029,-117.8730604,In-N-Out Burger,4.7,"Monday: 10:30 AM – 1:00 AM, Tuesday: 10:30 AM – 1:00 AM, Wednesday: 10:30 AM – 1:00 AM, Thursday: 10:30 AM – 1:00 AM, Friday: 10:30 AM – 1:30 AM, Saturday: 10:30 AM – 1:30 AM, Sunday: 10:30 AM – 1:00 AM",ChIJnxDhiQnXwoARYhAnSuBsJcU,197.864181518555,Los Angeles County Fire Dept. Station 153,34.0961106,-117.8576181,1.72554538016765,8405-001-030,"403801"
"12",Culver City,13425 Washington Blvd,"90292",33.9916475,-118.4462335,In-N-Out Burger,4.5,"Monday: 10:30 AM – 1:00 AM, Tuesday: 10:30 AM – 1:00 AM, Wednesday: 10:30 AM – 1:00 AM, Thursday: 10:30 AM – 1:00 AM, Friday: 10:30 AM – 1:30 AM, Saturday: 10:30 AM – 1:30 AM, Sunday: 10:30 AM – 1:00 AM",ChIJ3zcEqI66woAR1Ej8yoqARk8,7.54338455200195,Los Angeles County Fire Dept. Station #110,33.9839714,-118.448567,0.880241665823329,4236-029-007,"702803"
"13",Diamond Bar,21133 Golden Springs Dr,"91789",34.0004987,-117.8434861,In-N-Out Burger,4.6,"Monday: 10:30 AM – 1:00 AM, Tuesday: 10:30 AM – 1:00 AM, Wednesday: 10:30 AM – 1:00 AM, Thursday: 10:30 AM – 1:00 AM, Friday: 10:30 AM – 1:30 AM, Saturday: 10:30 AM – 1:30 AM, Sunday: 10:30 AM – 1:00 AM",ChIJPS4ihHcrw4AR0CFX7IOz_Q8,179.006973266602,Los Angeles County Fire Dept. Station 120,34.0019409,-117.8141655,2.70763091495059,8763-006-020,"403328"
"14",Downey,8767 Firestone Blvd,"90241",33.9360724,-118.1242232,In-N-Out Burger,4.7,"Monday: 10:30 AM – 1:00 AM, Tuesday: 10:30 AM – 1:00 AM, Wednesday: 10:30 AM – 1:00 AM, Thursday: 10:30 AM – 1:00 AM, Friday: 10:30 AM – 1:30 AM, Saturday: 10:30 AM – 1:30 AM, Sunday: 10:30 AM – 1:00 AM",ChIJc6ml1ZzNwoAR8De2jv6hql0,34.4987411499023,Downey Fire Dept. Station #4,33.943604,-118.108721,1.65725573442136,6254-028-028,"550901"
"15",El Segundo,600 N Sepulveda Blvd,"90266",33.9239,-118.39539,In-N-Out Burger,4.5,"Monday: 10:30 AM – 1:00 AM, Tuesday: 10:30 AM – 1:00 AM, Wednesday: 10:30 AM – 1:00 AM, Thursday: 10:30 AM – 1:00 AM, Friday: 10:30 AM – 1:30 AM, Saturday: 10:30 AM – 1:30 AM, Sunday: 10:30 AM – 1:00 AM",,37.1402702331543,El Segundo Fire Station #2,33.9238589,-118.3850482,0.954222218678014,4138-006-008,"980013"
