Unnamed: 0,ZIPcode,TaxRateArea_CITY,AIN,RollYear,TaxRateArea,AssessorID,PropertyLocation,PropertyType,PropertyUseCode,GeneralUseType,SpecificUseType,SpecificUseDetail1,SpecificUseDetail2,totBuildingDataLines,YearBuilt,EffectiveYearBuilt,SQFTmain,Bedrooms,Bathrooms,Units,RecordingDate,LandValue,LandBaseYear,ImprovementValue,ImpBaseYear,TotalLandImpValue,HomeownersExemption,RealEstateExemption,FixtureValue,FixtureExemption,PersonalPropertyValue,PersonalPropertyExemption,isTaxableParcel?,TotalValue,TotalExemption,netTaxableValue,SpecialParcelClassification,AdministrativeRegion,Cluster,ParcelBoundaryDescription,HouseNo,HouseFraction,StreetDirection,StreetName,UnitNo,City,ZIPcode5,rowID,CENTER_LAT,CENTER_LON,Location 1
6741,,LOS ANGELES,2024005026,2020,8852,2024-005-026,,C/I,27T0,Commercial,Parking Lot (Commercial Use Property),Wireless Communication Tower,One Story,1,0,0,0,0,0,0,20020903,653.0,2003,125.0,2003,778.0,0.0,0.0,0.0,0.0,0.0,0.0,Y,778.0,0.0,778.0,,24,24604,P M 73-26-27 E 30 FT OF N 40 FT OF LOT B,0,,,,,,,20202024005026,34.1947687,-118.60657356,"(34.1947687, -118.60657356)"
12489,91311-6339,unincorporated,2007015042,2020,1512,2007-015-042,23403 LAKE MANOR DR  CHATSWORTH CA  91311,C/I,1210,Commercial,Store Combination,Store and Residential Combination,One Story,1,1971,1978,3544,2,2,0,20180920,492145.0,2019,355335.0,2019,847480.0,0.0,0.0,0.0,0.0,0.0,0.0,Y,847480.0,0.0,847480.0,,24,24604,"CHATSWORTH LAKE MANOR PARCELS C,D AND E EX OF ST LOT 8 BLK 9",23403,,,LAKE MANOR DR,,CHATSWORTH CA,91311.0,20202007015042,34.23838779,-118.63651954,"(34.23838779, -118.63651954)"
25767,91362-6399,WEST LAKE VILLAGE,2054030117,2020,16595,2054-030-117,30780 RUSSELL RANCH RD  WESTLAKE VILLAGE CA  91362,C/I,2120,Commercial,"Restaurant, Cocktail Lounge",Fast Food - Auto Oriented,One Story,1,2014,2014,3724,0,0,0,20160819,504453.0,2010,1203335.0,2015,1707788.0,0.0,0.0,0.0,0.0,0.0,0.0,Y,1707788.0,0.0,1707788.0,,28,28620,P M 374-61-66 FOR DESC SEE ASSESSOR'S MAPS POR LOT 1,30780,,,RUSSELL RANCH RD,,WESTLAKE VILLAGE CA,91362.0,20202054030117,34.14766433,-118.79731619,"(34.14766433, -118.79731619)"
32749,91362-3914,WEST LAKE VILLAGE,2054028033,2020,9036,2054-028-033,31351 VIA COLINAS  WESTLAKE VILLAGE CA  91362,C/I,1700,Commercial,Office Building,,One Story,1,1986,1986,14408,0,0,0,19840117,909357.0,1984,1766320.0,1986,2675677.0,0.0,0.0,0.0,0.0,0.0,0.0,Y,2675677.0,0.0,2675677.0,,23,23660,TRACT NO 30767 LOT    3,31351,,,VIA COLINAS,,WESTLAKE VILLAGE CA,91362.0,20202054028033,34.15665412,-118.80585767,"(34.15665412, -118.80585767)"
103122,91364-2629,LOS ANGELES,2164001037,2020,37,2164-001-037,19920 VENTURA BLVD  LOS ANGELES CA  91364,C/I,2100,Commercial,"Restaurant, Cocktail Lounge","Restaurant, Cocktail Lounge, Tavern",One Story,1,1975,1975,1806,0,0,0,19780419,188864.0,1975,81370.0,1975,270234.0,0.0,0.0,118590.0,0.0,55007.0,0.0,Y,443831.0,0.0,443831.0,,24,24618,*TR=PARCEL MAP AS PER BK 94 P 4-5 OF P M LOT    A,19920,,,VENTURA BLVD,,LOS ANGELES CA,91364.0,20202164001037,34.171889,-118.56673816,"(34.171889, -118.56673816)"
115352,91402-6084,LOS ANGELES,2212028021,2020,8856,2212-028-021,7930 VAN NUYS BLVD  LOS ANGELES CA  91402,C/I,1500,Commercial,"Shopping Center (Neighborhood, Community)",,One Story,1,1998,1998,3291,0,0,1,19971114,1606047.0,1998,640759.0,1998,2246806.0,0.0,0.0,198473.0,0.0,91830.0,0.0,Y,2537109.0,0.0,2537109.0,,28,28620,TR=52166 LOT 22,7930,,,VAN NUYS BLVD,,LOS ANGELES CA,91402.0,20202212028021,34.21504659,-118.44822678,"(34.21504659, -118.44822678)"
120880,91406-2701,LOS ANGELES,2226031002,2020,16,2226-031-002,7220 BALBOA BLVD  VAN NUYS CA  91406,C/I,2120,Commercial,"Restaurant, Cocktail Lounge",Fast Food - Auto Oriented,One Story,1,2005,2005,3237,0,0,0,20041108,2676571.0,2005,643523.0,2006,3320094.0,0.0,0.0,0.0,0.0,0.0,0.0,Y,3320094.0,0.0,3320094.0,,24,24604,TRACT # 18148 LOT COM AT INTERSECTION OF N LINE OF SHERMAN WAY WITH E LINE OF LOT 1 TH W ON SD N LINE TO A LINE PARALLEL WITH AND DIST E AT R/A 152 FT FROM W LINE OF LOT 57 TR # 1338 TH N 100 FT TH NW TO A PT E 125 FT FROM SD W LINE AND N AT R/A 127 FT FROM SD N LINE TH W 100 FT TO W LINE OF LOT 1 TH N 100 FT TH E 280.01 FT TH S 227 FT TO BEG PART OF LOT    1,7220,,,BALBOA BLVD,,VAN NUYS CA,91406.0,20202226031002,34.20170441,-118.50042364,"(34.20170441, -118.50042364)"
142930,91403-2912,LOS ANGELES,2265014014,2020,8849,2265-014-014,4454 VAN NUYS BLVD  LOS ANGELES CA  91403,C/I,2100,Commercial,"Restaurant, Cocktail Lounge","Restaurant, Cocktail Lounge, Tavern",One Story,1,1977,1977,3442,0,0,0,19990108,1447331.0,1986,669835.0,1993,2117166.0,0.0,0.0,0.0,0.0,0.0,0.0,Y,2117166.0,0.0,2117166.0,,24,24631,P M 75-77-78 EX OF ST LOT B,4454,,,VAN NUYS BLVD,,LOS ANGELES CA,91403.0,20202265014014,34.15210366,-118.44815905,"(34.15210366, -118.44815905)"
180582,91601-1036,LOS ANGELES,2338013037,2020,13,2338-013-037,5864 LANKERSHIM BLVD  LOS ANGELES CA  91601,C/I,2100,Commercial,"Restaurant, Cocktail Lounge","Restaurant, Cocktail Lounge, Tavern",One Story,1,1971,1971,787,0,0,1,19710604,91668.0,1975,76195.0,1975,167863.0,0.0,0.0,113335.0,0.0,59772.0,0.0,Y,340970.0,0.0,340970.0,,24,24629,TRACT NO 6410   (EX OF STS) LOT 20 AND (EX OF ST) LOT 21 AND NW 25 FT OF LOT   22,5864,,,LANKERSHIM BLVD,,LOS ANGELES CA,91601.0,20202338013037,34.17736952,-118.3817732,"(34.17736952, -118.3817732)"
225469,90068-1206,LOS ANGELES,2425001054,2020,13,2425-001-054,3640 CAHUENGA BLVD W  LOS ANGELES CA  90068,C/I,2120,Commercial,"Restaurant, Cocktail Lounge",Fast Food - Auto Oriented,One Story,1,1995,1995,2340,0,2,0,19950705,1519026.0,1996,368654.0,1996,1887680.0,0.0,0.0,152152.0,0.0,82829.0,0.0,Y,2122661.0,0.0,2122661.0,,25,25655,PARCEL MAP   AS PER BK 25 PG 87 OF P M LOT    A,3640,,,CAHUENGA BLVD W,,LOS ANGELES CA,90068.0,20202425001054,34.13506197,-118.36042136,"(34.13506197, -118.36042136)"
234350,91502-1608,BURBANK,2460023061,2020,2536,2460-023-061,761 N 1ST ST  BURBANK CA  91502,C/I,1600,Commercial,Shopping Center (Regional),,One Story,1,1995,1995,2968,0,0,0,20160411,11322239.0,2016,1591174.0,2016,12913413.0,0.0,0.0,0.0,0.0,0.0,0.0,Y,12913413.0,0.0,12913413.0,,28,28626,P M 258-18-27 POR OF LOT 15,761,,N,1ST ST,,BURBANK CA,91502.0,20202460023061,34.1852393,-118.31601812,"(34.1852393, -118.31601812)"
